UF,Setor,Saldo Total,Salario Medio
AC,Administração Pública,-860,2237.88
AC,Agropecuária,361,1796.1
AC,Alimentação e Hospedagem,517,1513.03
AC,Artes e Cultura,330,2054.55
AC,Atividades Imobiliárias,303,1769.16
AC,Comércio Varejista,4248,3822.77
AC,Construção Civil,2639,2043.34
AC,Educação,254,3596.52
AC,Energia Elétrica e Gás,362,5021.31
AC,Indústria Extrativa,23,1718.09
AC,Indústria de Transformação,1429,1854.87
AC,Não informado,5,1664.71
AC,Outros Serviços,307,2436
AC,Saúde e Serviços Sociais,724,2313.04
AC,Serviços Administrativos,9359,2000.52
AC,Serviços Domésticos,2,1421.57
AC,Serviços Financeiros,-131,2733.8
AC,Serviços Profissionais,1117,2638.05
AC,Tecnologia e Comunicação,337,2034.54
AC,Transporte e Armazenagem,701,5191.57
AC,Água e Saneamento,34,2205.92
AL,Administração Pública,1061,3798.23
AL,Agropecuária,-544,2465.12
AL,Alimentação e Hospedagem,6423,2273.93
AL,Artes e Cultura,687,2295.17
AL,Atividades Imobiliárias,1290,2068.9
AL,Comércio Varejista,17459,2645.07
AL,Construção Civil,12206,2677.61
AL,Educação,1126,4074.82
AL,Energia Elétrica e Gás,1010,3870.77
AL,Indústria Extrativa,1055,4323.89
AL,Indústria de Transformação,10702,6633.25
AL,Não informado,2,1633.36
AL,Outros Serviços,490,3707.78
AL,Saúde e Serviços Sociais,2137,3028.69
AL,Serviços Administrativos,7093,2518.44
AL,Serviços Domésticos,-3,1394.33
AL,Serviços Financeiros,866,3314.99
AL,Serviços Profissionais,3392,2948.84
AL,Tecnologia e Comunicação,827,2815.92
AL,Transporte e Armazenagem,3333,2144.84
AL,Água e Saneamento,1796,2918.44
AM,Administração Pública,486,18767.53
AM,Agropecuária,12,2908.69
AM,Alimentação e Hospedagem,6693,1968.92
AM,Artes e Cultura,1008,18826.17
AM,Atividades Imobiliárias,318,2793.55
AM,Comércio Varejista,24181,2939.38
AM,Construção Civil,7968,3111.9
AM,Educação,1842,3100.77
AM,Energia Elétrica e Gás,-383,4929.47
AM,Indústria Extrativa,291,5121.1
AM,Indústria de Transformação,32058,5457.8
AM,Não informado,-9,1699.12
AM,Organismos Internacionais,-1,3256.78
AM,Outros Serviços,3921,3149.37
AM,Saúde e Serviços Sociais,4543,3449.35
AM,Serviços Administrativos,26035,2477.26
AM,Serviços Domésticos,-15,3500.84
AM,Serviços Financeiros,779,4094.81
AM,Serviços Profissionais,5935,4493.83
AM,Tecnologia e Comunicação,2712,4168.2
AM,Transporte e Armazenagem,8186,3637.46
AM,Água e Saneamento,985,4268.08
AP,Administração Pública,29,5819.51
AP,Agropecuária,382,2167.97
AP,Alimentação e Hospedagem,722,1558.92
AP,Artes e Cultura,201,1626.1
AP,Atividades Imobiliárias,185,1509.54
AP,Comércio Varejista,4223,1844.37
AP,Construção Civil,1139,2241.74
AP,Educação,1473,6909.75
AP,Energia Elétrica e Gás,-62,5397.08
AP,Indústria Extrativa,-220,6643.04
AP,Indústria de Transformação,970,2266.38
AP,Outros Serviços,-69,2118.58
AP,Saúde e Serviços Sociais,806,2427.09
AP,Serviços Administrativos,5134,1892.42
AP,Serviços Domésticos,13,2658.29
AP,Serviços Financeiros,96,3435.12
AP,Serviços Profissionais,435,2368.02
AP,Tecnologia e Comunicação,137,2134.58
AP,Transporte e Armazenagem,351,2145.63
AP,Água e Saneamento,742,3542.83
BA,Administração Pública,3728,3094.49
BA,Agropecuária,22554,3270.24
BA,Alimentação e Hospedagem,18471,2131.43
BA,Artes e Cultura,3033,155137.16
BA,Atividades Imobiliárias,2874,2107.5
BA,Comércio Varejista,68828,2380.67
BA,Construção Civil,34224,4641.09
BA,Educação,7062,4230.63
BA,Energia Elétrica e Gás,480,4984.13
BA,Indústria Extrativa,4816,6098.94
BA,Indústria de Transformação,47944,3704.45
BA,Não informado,-4,3204.29
BA,Organismos Internacionais,0,5044.52
BA,Outros Serviços,6525,2750.99
BA,Saúde e Serviços Sociais,41715,2747.87
BA,Serviços Administrativos,46051,2472.38
BA,Serviços Domésticos,-14,4995.77
BA,Serviços Financeiros,521,3369.16
BA,Serviços Profissionais,17697,3136.38
BA,Tecnologia e Comunicação,9851,3765.79
BA,Transporte e Armazenagem,25598,2799.12
BA,Água e Saneamento,3028,3802.28
CE,Administração Pública,527,4466.47
CE,Agropecuária,4828,5898.07
CE,Alimentação e Hospedagem,14681,2732.09
CE,Artes e Cultura,3667,3878.39
CE,Atividades Imobiliárias,1491,3556.12
CE,Comércio Varejista,64066,3649.88
CE,Construção Civil,33191,3425.22
CE,Educação,8615,5023.62
CE,Energia Elétrica e Gás,982,6034.29
CE,Indústria Extrativa,1175,3527.36
CE,Indústria de Transformação,38958,4121
CE,Não informado,-3,1611.08
CE,Organismos Internacionais,0,3116.98
CE,Outros Serviços,5367,2918.6
CE,Saúde e Serviços Sociais,22112,3506.37
CE,Serviços Administrativos,56732,3446.06
CE,Serviços Domésticos,-2,1927.11
CE,Serviços Financeiros,4098,4783.12
CE,Serviços Profissionais,16729,3929.71
CE,Tecnologia e Comunicação,15035,3559.14
CE,Transporte e Armazenagem,6898,3319.78
CE,Água e Saneamento,4947,6096.21
DF,Administração Pública,-105,7024.19
DF,Agropecuária,446,3250.17
DF,Alimentação e Hospedagem,5358,1798.47
DF,Artes e Cultura,2086,2066.63
DF,Atividades Imobiliárias,279,2545.09
DF,Comércio Varejista,20800,2413.5
DF,Construção Civil,23423,11809.97
DF,Educação,3992,3376.26
DF,Energia Elétrica e Gás,-221,7909.97
DF,Indústria Extrativa,77,4869.65
DF,Indústria de Transformação,5946,2886.01
DF,Organismos Internacionais,216,5863.06
DF,Outros Serviços,5078,5251.21
DF,Saúde e Serviços Sociais,36078,3698.34
DF,Serviços Administrativos,29299,3944.33
DF,Serviços Domésticos,17,4886.09
DF,Serviços Financeiros,1694,5217.74
DF,Serviços Profissionais,7350,4041.41
DF,Tecnologia e Comunicação,15328,3864.08
DF,Transporte e Armazenagem,2807,3265.18
DF,Água e Saneamento,706,3933.03
ES,Administração Pública,950,9916.95
ES,Agropecuária,563,3049.2
ES,Alimentação e Hospedagem,3856,2130.48
ES,Artes e Cultura,1220,12608.27
ES,Atividades Imobiliárias,631,2121.45
ES,Comércio Varejista,39989,2317.46
ES,Construção Civil,24069,3140.32
ES,Educação,2307,3333.07
ES,Energia Elétrica e Gás,322,5407.32
ES,Indústria Extrativa,1026,5486.39
ES,Indústria de Transformação,27206,3468.35
ES,Não informado,-2,1794.96
ES,Organismos Internacionais,0,1986.86
ES,Outros Serviços,2124,2832.14
ES,Saúde e Serviços Sociais,15013,2949.68
ES,Serviços Administrativos,25558,2648.87
ES,Serviços Domésticos,6,1518.54
ES,Serviços Financeiros,1556,3847.02
ES,Serviços Profissionais,8643,3017.85
ES,Tecnologia e Comunicação,3554,3596.15
ES,Transporte e Armazenagem,9838,3462.9
ES,Água e Saneamento,1006,2617.75
GO,Administração Pública,-255,4608.64
GO,Agropecuária,21433,3070.17
GO,Alimentação e Hospedagem,12501,2221.9
GO,Artes e Cultura,3117,2231.55
GO,Atividades Imobiliárias,1055,2209.88
GO,Comércio Varejista,55680,2701.89
GO,Construção Civil,37579,2550.75
GO,Educação,4791,3146.91
GO,Energia Elétrica e Gás,759,4673.2
GO,Indústria Extrativa,2172,4851.48
GO,Indústria de Transformação,47576,3354.51
GO,Não informado,-2,1831.3
GO,Outros Serviços,5207,2589.4
GO,Saúde e Serviços Sociais,21319,2936.13
GO,Serviços Administrativos,46008,2706.83
GO,Serviços Domésticos,34,1789.01
GO,Serviços Financeiros,5539,3359.62
GO,Serviços Profissionais,15325,2779.34
GO,Tecnologia e Comunicação,5765,3052.42
GO,Transporte e Armazenagem,20352,2425.81
GO,Água e Saneamento,6960,3369.81
MA,Administração Pública,379,2597.9
MA,Agropecuária,8849,2972.66
MA,Alimentação e Hospedagem,6396,3102.31
MA,Artes e Cultura,1009,2377.35
MA,Atividades Imobiliárias,907,3445.58
MA,Comércio Varejista,39867,2945
MA,Construção Civil,13553,3176.87
MA,Educação,4038,4784.47
MA,Energia Elétrica e Gás,341,5921.79
MA,Indústria Extrativa,512,7073.94
MA,Indústria de Transformação,11180,4088.16
MA,Outros Serviços,6470,4552.49
MA,Saúde e Serviços Sociais,14875,4210.85
MA,Serviços Administrativos,15342,4806.61
MA,Serviços Domésticos,2,17809.81
MA,Serviços Financeiros,402,3648.5
MA,Serviços Profissionais,5379,2708.54
MA,Tecnologia e Comunicação,3332,4060.97
MA,Transporte e Armazenagem,3193,4149.42
MA,Água e Saneamento,1101,2554.32
MG,Administração Pública,940,2982.7
MG,Agropecuária,32443,6187.11
MG,Alimentação e Hospedagem,31142,7663.85
MG,Artes e Cultura,5349,4373.33
MG,Atividades Imobiliárias,3976,2379.29
MG,Comércio Varejista,110379,5080.53
MG,Construção Civil,89323,4029.19
MG,Educação,23233,2568.47
MG,Energia Elétrica e Gás,157,5543.98
MG,Indústria Extrativa,14312,5836.9
MG,Indústria de Transformação,133761,11012.69
MG,Não informado,-14,2621.97
MG,Organismos Internacionais,-7,6711.2
MG,Outros Serviços,14044,25849.15
MG,Saúde e Serviços Sociais,67087,3023.91
MG,Serviços Administrativos,118141,3712.35
MG,Serviços Domésticos,-16,1712.6
MG,Serviços Financeiros,13141,4098.49
MG,Serviços Profissionais,51247,7049.5
MG,Tecnologia e Comunicação,30055,3865.39
MG,Transporte e Armazenagem,44934,2967.38
MG,Água e Saneamento,1910,2983.81
MS,Administração Pública,11,2917.61
MS,Agropecuária,21359,3783.04
MS,Alimentação e Hospedagem,3450,1715.41
MS,Artes e Cultura,656,1776.94
MS,Atividades Imobiliárias,230,2128.53
MS,Comércio Varejista,26924,2822.1
MS,Construção Civil,7528,2395.6
MS,Educação,3272,3725.79
MS,Energia Elétrica e Gás,261,4409.67
MS,Indústria Extrativa,1903,3618.06
MS,Indústria de Transformação,24401,3088.66
MS,Não informado,-1,1514
MS,Organismos Internacionais,1,1500
MS,Outros Serviços,3263,2435.77
MS,Saúde e Serviços Sociais,2563,2893.89
MS,Serviços Administrativos,8140,2151.62
MS,Serviços Domésticos,8,1775.97
MS,Serviços Financeiros,2013,3173.87
MS,Serviços Profissionais,6957,2936.47
MS,Tecnologia e Comunicação,1943,2537.43
MS,Transporte e Armazenagem,7815,2179.98
MS,Água e Saneamento,491,3406.23
MT,Administração Pública,-1031,11299.67
MT,Agropecuária,32989,4034.06
MT,Alimentação e Hospedagem,6804,1723.93
MT,Artes e Cultura,1187,2456.17
MT,Atividades Imobiliárias,779,2595.1
MT,Comércio Varejista,44041,2674.79
MT,Construção Civil,21020,13238.57
MT,Educação,3314,3537.83
MT,Energia Elétrica e Gás,1199,3950.53
MT,Indústria Extrativa,3639,4183.9
MT,Indústria de Transformação,22703,2999.11
MT,Não informado,-1,2346.67
MT,Outros Serviços,3635,3432.74
MT,Saúde e Serviços Sociais,7910,2672.98
MT,Serviços Administrativos,21940,2716.09
MT,Serviços Domésticos,8,1891.85
MT,Serviços Financeiros,4139,3641.31
MT,Serviços Profissionais,8099,3103.19
MT,Tecnologia e Comunicação,2272,2426.21
MT,Transporte e Armazenagem,18293,2743.46
MT,Água e Saneamento,753,2583.63
PA,Administração Pública,-900,2528.67
PA,Agropecuária,8120,3450.5
PA,Alimentação e Hospedagem,9608,1911.32
PA,Artes e Cultura,1735,2504.1
PA,Atividades Imobiliárias,636,1820
PA,Comércio Varejista,58930,16830
PA,Construção Civil,31164,3179.78
PA,Educação,4679,3420.15
PA,Energia Elétrica e Gás,-42,36711.38
PA,Indústria Extrativa,6246,5876.88
PA,Indústria de Transformação,21417,3733.09
PA,Não informado,-10,1845.61
PA,Organismos Internacionais,0,3220.9
PA,Outros Serviços,1977,3490.44
PA,Saúde e Serviços Sociais,5431,3138.43
PA,Serviços Administrativos,29596,2379.78
PA,Serviços Domésticos,7,6708.63
PA,Serviços Financeiros,1897,4426.4
PA,Serviços Profissionais,9115,3119.04
PA,Tecnologia e Comunicação,2625,2648.6
PA,Transporte e Armazenagem,8546,2787.49
PA,Água e Saneamento,102,2792.78
PB,Administração Pública,-39,3753.17
PB,Agropecuária,3453,2555
PB,Alimentação e Hospedagem,5548,2539.45
PB,Artes e Cultura,1051,4493.8
PB,Atividades Imobiliárias,835,4311.48
PB,Comércio Varejista,28264,2608.02
PB,Construção Civil,24862,2614.39
PB,Educação,-1335,4138.43
PB,Energia Elétrica e Gás,72,5168.67
PB,Indústria Extrativa,140,3857.2
PB,Indústria de Transformação,7558,2821.87
PB,Não informado,-8,2187.75
PB,Outros Serviços,-2842,2665.19
PB,Saúde e Serviços Sociais,6162,3233.03
PB,Serviços Administrativos,26542,1762.99
PB,Serviços Domésticos,-4,4749.01
PB,Serviços Financeiros,206,3535.55
