Setor,Risco Médio,Salario medio,Saldo Total,Total Movimentações
Administração Pública,0.4,8715106.17,33240,720682
Agropecuária,0.35,3438.73,276593,9466761
Alimentação e Hospedagem,0.33,2456.19,296271,11159353
Artes e Cultura,0.3,11452.43,70580,1166752
Atividades Imobiliárias,0.5,2627.67,35167,715793
Comércio Varejista,0.72,4774.52,1527008,43671764
Construção Civil,0.45,8674.62,840281,19582909
Educação,0.31,4202.36,155626,5305828
Energia Elétrica e Gás,0.42,6582.8,8043,184277
Indústria Extrativa,0.55,4809.66,60836,576174
Indústria de Transformação,0.76,4475.46,1127223,29337791
Não informado,0.45,2212.77,-84,240
Organismos Internacionais,0.45,5547.5,199,4177
Outros Serviços,0.48,4234.0,155574,3547768
Saúde e Serviços Sociais,0.27,3122.32,612984,8874970
Serviços Administrativos,0.65,3591.45,1333204,32662612
Serviços Domésticos,0.28,3046.81,382,6222
Serviços Financeiros,0.87,5914.35,122437,2016811
Serviços Profissionais,0.38,4901.47,438752,6936382
Tecnologia e Comunicação,0.14,3514.7,266643,4034253
Transporte e Armazenagem,0.68,2995.36,418615,10503039
Água e Saneamento,0.44,3454.61,50235,1008817
